0.9938638000,0.7897230168
1.9347557478,1.5409655489
1.6279711675,1.2196147425
0.6020396000,-0.2209635396
2.3703292717,2.0915402537
1.5743366546,2.2072295700
1.1825805341,0.2536912103
0.4669270756,0.9289115822
3.7942779960,-1.5201177320
2.4824224540,-2.3315393862
2.8114999677,-2.1662173070
3.2666860240,-1.5594160888
2.6530870949,-2.9905388227
2.7166081878,-2.5002126214
2.9638361200,-3.5495412129
3.6220705818,-1.8110776837
2.0971434822,1.0380150708
4.1791155129,2.9022983497
4.7270460227,1.5257855272
1.6931713525,2.0472427218
3.8239155373,2.0273995299
3.8894383385,1.2684956244
2.7060923858,2.0553255869
0.9033421601,0.6813110923
14.8161692095,2.1539377753
12.4298493881,-1.1971239169
12.7401590384,0.7066041527
12.6322775968,-1.0146377911
11.2732742710,-0.8639293480
12.8198354145,-0.3672166777
11.9374952551,-0.4845977995
15.5476669074,1.1019242244
1.3796890631,-2.0764610815
1.2688244070,-1.9903995025
1.3481084403,-1.8477906856
1.8045896021,-1.5930093590
1.7201601932,-1.3205398687
1.3007592146,-1.0881701749
1.5420223328,-0.3617518688
2.4493839831,0.3246917154
