-30.7885718375,7.1804888286,1.8525263312,-2.4360351117,0.2334813295
-19.2098819346,8.1472205047,4.2029411288,0.3973854696,-1.7145715144
-25.0088519624,9.9788758932,-0.8553678175,-3.1169328579,-1.4662310457
-29.3542012600,-2.6845421115,17.5186477866,-0.6612725598,-2.9724496037
-19.1777703860,15.0634430858,-6.7201700310,-2.2523312488,-0.2725863014
-24.1128220629,13.3180810322,-5.0144945744,0.4234020665,-1.4303465689
-27.7006045458,3.5330211149,8.1170555138,-3.3152787414,-1.6361176116
-32.8714521738,5.7155498105,3.8193210658,-0.5605179421,-2.6672717568
-8.1696311550,-4.5696347901,-18.6409249719,-0.7623700738,1.0498017454
-16.6170912752,-12.4163902293,-8.7238997365,1.7666215990,-0.1004817676
-16.8494397655,-7.7700042979,-16.4368540892,-1.6555989477,-0.0632875657
-9.9514508897,-7.3229399234,-14.6455504213,1.1382296691,-1.7800968485
-17.0056237005,-13.8943492677,-7.0828529268,-1.0576995550,1.1195978858
-13.8820724614,-13.8663357598,-5.7424069571,1.7042027756,-0.4107405255
-12.6587159388,-17.8451538885,-0.0031568948,-1.8857534485,-0.7009233044
-5.8240024925,-9.4969753361,-10.1698995122,1.0695839034,-2.1846926531
-23.0470432170,7.6699207991,4.8812069357,0.0854581321,2.9677203787
-1.9307871657,15.4069793024,-0.2600211658,3.1165844804,0.7145261963
2.9759797654,8.7617184102,10.5666253716,-0.5052325093,0.1529586593
-25.5453597367,12.3058659251,-2.4955762833,2.1330388598,0.3903602223
-7.2748023160,12.9395046981,1.4530077597,0.2413446641,2.1666516261
-1.7752551593,4.0051468948,17.0195031675,2.8342932062,0.2506975401
-18.6027167492,14.7172263217,-4.6262303966,-0.5662540546,1.3376642537
-30.9953132414,3.3570809848,9.4669591323,1.8663503743,0.2928737865
94.2588115568,9.9469880398,-9.6131923275,2.6320571237,-0.7916512941
71.1422523233,-6.4199148677,7.7517925591,-1.9592773157,1.9993035510
75.9414224110,2.1618931103,-3.2490052986,1.5852887151,-1.5307932223
72.9863697617,-4.9371538690,5.9016215308,-2.6914694531,0.4684781826
63.8489649670,-7.9237038339,8.6627004489,2.0282098371,0.1651493483
73.5831183391,-0.8730611455,0.0754926848,-1.8801451766,1.9079449156
70.0311109524,-5.5199791262,6.6667922197,1.3417135923,-1.5672173268
98.7542879755,7.1536179121,-4.9634990295,-2.3340021959,-0.6603642570
-26.3406445389,-11.4614366872,9.8758194053,0.2877696184,0.7114370532
-27.6334847388,-10.7262900538,8.3935572571,0.2948389429,0.8008540241
-27.0938802812,-9.7876992002,7.1301811682,0.3174081003,0.7997416009
-22.9192633239,-8.4455369316,6.3010084034,0.3707242089,0.6190464122
-24.2940218202,-6.4014619402,2.8172130876,0.4041079487,0.7508294265
-29.0090932416,-4.2888987494,-1.7294996014,0.4182399116,1.0604089757
-27.9185286050,0.6649311870,-8.9023073412,0.5264913726,1.1470340764
-19.9599400758,4.6239081539,-12.5990635810,0.6568266201,0.8432619772
